safehard,uni_id,slogo,rank,uni_name,city_code,uni_type
81.30,1162,13Z0150XM0-1BZ6.jpg,126,安徽大学,安徽,综合类
81.15,589,13Z014QA40-159516.jpg,127,南京农业大学,江苏,农林类
82.73,557,13Z014X22Z-11Q44.jpg,101,华中师范大学,湖北,师范类
82.65,2527,13Z014K0R0-131X8.jpg,102,福州大学,福建,理工类
82.65,791,13Z014MS60-1b361.jpg,103,合肥工业大学,安徽,理工类
90.98,114,13Z014953450-1D5Z.jpg,26,东南大学,江苏,综合类
90.68,514,54056800db373.jpg,27,北京理工大学,北京,理工类
90.45,476,13Z014963060-145N.jpg,28,北京外国语大学,北京,语言类
89.93,246,13Z0151KH0-113428.jpg,29,中国政法大学,北京,政法类
89.85,539,13Z014M1P-11U52.jpg,30,北京邮电大学,北京,理工类
81.15,104,13Z02429E30-12348.jpg,128,东北大学秦皇岛分校,河北,理工类
81.08,322,53478255b4183.jpg,129,云南大学,云南,综合类
81.00,2799,13Z015092Z-216254.jpg,130,辽宁大学,辽宁,综合类
80.93,3084,13Z0151U20-213914.jpg,131,陕西师范大学,陕西,师范类
80.85,105,13Z014XJ40-1E048.jpg,132,东北师范大学,吉林,师范类
80.63,2966,13Z015FCF-1633S.jpg,133,重庆邮电大学,重庆,理工类
82.58,1008,13Z015439330-211E2.jpg,104,大连海事大学,辽宁,理工类
82.50,2873,13Z014OL0-1E423.jpg,105,郑州大学,河南,综合类
89.70,2666,13Z01505b50-1131I.jpg,31,西南财经大学,四川,财经类
89.55,579,13Z01492G50-1141G.jpg,32,华南理工大学,广东,理工类
89.40,33,13Z01536240-11b4.jpg,33,上海外国语大学,上海,语言类
84.83,2077,13Z014O2V0-112037.jpg,76,河海大学,江苏,理工类
84.60,3318,55bb359c141e8.png,77,北京邮电大学（宏福校区）,北京,理工类
84.45,111,13Z014V6420-21Rc.jpg,78,东华大学,上海,理工类
84.38,266,5407d49291aaa.jpg,79,中国药科大学,江苏,医药类
84.30,253,54081de295776.jpg,80,中国石油大学（北京）,北京,理工类
84.23,276,5407ce68eb28f.jpg,81,中央民族大学,北京,民族类
84.00,481,53479d3f1e1a1.jpg,82,北京工业大学,北京,理工类
80.48,2712,534645ff9cbea.jpg,134,西安邮电大学,陕西,综合类
80.33,555,13Z014W2240-1Ab.jpg,135,华中农业大学,湖北,农林类
80.18,1099,13Z0151342P-136205.jpg,136,太原理工大学,山西,理工类
79.88,460,13Z01KB3Z-1X95.jpg,137,北京体育大学,北京,体育类
82.50,243,13Z01QS3Z-1UL2.jpg,106,中国地质大学（武汉）,湖北,理工类
82.43,258,13Z01L24450-1314C.jpg,107,中国矿业大学（北京）,北京,理工类
82.43,638,13Z014JB30-YI2.jpg,108,南昌大学,江西,综合类
82.43,2225,13Z015CCF-61250.jpg,109,温州医科大学,浙江,医药类
88.73,498,13Z011505Z-1X404.jpg,34,北京师范大学,北京,师范类
88.65,2647,13Z01491R20-1c93.jpg,35,西北工业大学,陕西,理工类
88.58,130,13Z015143030-1JW.jpg,36,中南财经政法大学,湖北,财经类
88.43,552,13Z014934930-21N49.jpg,37,华东师范大学,上海,师范类
88.43,924,53477e5491d55.jpg,38,四川大学,四川,综合类
88.35,1259,53477e9c867e6.jpg,39,山东大学,山东,综合类
88.13,124,13Z01151020-235O2.jpg,40,中南大学,湖南,综合类
88.05,454,13Z014R60F-19C2.jpg,41,北京交通大学,北京,理工类
84.00,1260,13Z01O00L0-13017.jpg,83,山东大学威海分校,山东,综合类
84.00,395,534780d15b0d3.jpg,84,兰州大学,甘肃,综合类
79.73,2186,13Z01503Y0-S533.jpg,138,海南大学,海南,综合类
79.73,1509,13Z015125120-3a42.jpg,139,广西大学,广西,综合类
79.35,2736,13Z015109260-116461.jpg,140,贵州大学,贵州,综合类
78.83,1553,13Z0154333F-163B4.jpg,141,延边大学,吉林,综合类
78.68,107,53a8ea18b5204.png,142,东北林业大学,黑龙江,林业类
78.53,422,13Z01515W40-2123J.jpg,143,内蒙古大学,内蒙古,综合类
78.30,1112,53a8eaa68e015.png,144,宁夏大学,宁夏,综合类
78.08,911,5407cf8ca60dd.jpg,145,四川农业大学,四川,农林类
87.45,2313,54056ceb2403b.jpg,51,湖南大学,湖南,综合类
86.93,554,13Z014YC20-134a.jpg,52,华东理工大学,上海,理工类
86.93,1714,540fe128e86d1.jpg,53,暨南大学,广东,综合类
86.70,233,13Z014929560-164917.jpg,54,中国农业大学,北京,农林类
82.20,1993,13Z015410460-20ZI.jpg,110,河北工业大学,天津,理工类
82.20,501,5407db3fc7854.jpg,111,北京建筑大学,北京,理工类
82.20,1136,13Z01QC440-34G7.jpg,112,宁波诺丁汉大学,浙江,综合类
82.13,2686,542a556c810cf.jpg,113,西安建筑科技大学,陕西,理工类
81.90,259,13Z01J43240-215342.jpg,114,中国矿业大学（徐州）,江苏,理工类
81.83,604,13Z014Q3D0-106126.jpg,115,南京师范大学,江苏,师范类
81.83,1730,5347a61391a9a.jpg,116,杭州电子科技大学,浙江,理工类
81.83,1835,13Z0153F2Z-E506.jpg,117,汕头大学,广东,综合类
88.05,2463,13Z014TSZ-1Q31.jpg,42,电子科技大学,四川,理工类
87.90,616,53478300b6eda.jpg,43,南京航空航天大学,江苏,理工类
87.90,980,53476015977d2.jpg,44,外交学院,北京,语言类
87.83,2922,13Z014Z4060-11V18.jpg,45,重庆大学,重庆,综合类
87.83,3151,5407cecc7e1c5.jpg,46,首都医科大学,北京,医药类
87.75,230,13Z01M915Z-19236.jpg,47,中国传媒大学,北京,语言类
87.60,1010,54056e5e8dce2.jpg,48,大连理工大学,辽宁,理工类
87.53,522,534781a82aaf6.jpg,49,北京科技大学,北京,理工类
87.53,1033,5407d022cced0.jpg,50,天津医科大学,天津,医药类
83.93,510,13Z014KWP-23I31.jpg,85,北京林业大学,北京,林业类
83.93,2213,13Z014b2420-213D2.jpg,86,深圳大学,广东,综合类
83.78,2660,5407d07161e42.jpg,87,西南政法大学,重庆,政法类
83.70,103,13Z014Z0b0-64311.jpg,88,东北大学,辽宁,理工类
83.63,467,13Z014PC30-1U48.jpg,89,北京化工大学,北京,理工类
83.55,2995,changandaxue-slogo.jpg,90,长安大学,陕西,理工类
83.48,864,13Z014L3930-1UB.jpg,91,哈尔滨工程大学,黑龙江,理工类
83.40,537,534743c175100.jpg,92,北京语言大学,北京,语言类
77.93,101,542a552b6845f.jpg,146,东北农业大学,黑龙江,农林类
76.58,2521,13Z01540F40-152155.jpg,147,石河子大学,新疆,综合类
75.75,3135,13Z01530H0-1B155.jpg,148,青海大学,青海,综合类
86.70,635,5472f193b6441.jpg,55,南方医科大学,广东,医药类
86.63,596,13Z01A4010-142314.jpg,56,南京审计大学,江苏,财经类
86.55,2697,13Z014P20P-2144W.jpg,57,西安电子科技大学,陕西,理工类
86.40,573,13Z01K34530-11OD.jpg,58,华北电力大学（北京）,北京,理工类
86.40,3317,570f0161ae0e1.jpg,59,中国人民大学（苏州校区）,江苏,综合类
81.60,2644,5345f58e2a65e.jpg,118,西北农林科技大学,陕西,农林类
81.60,2651,13Z01615E40-11V91.jpg,119,西北政法大学,陕西,政法类
81.53,2659,13Z014V2V0-1D600.jpg,120,西南大学,重庆,综合类
81.45,470,13Z01KI510-112202.jpg,121,北京协和医学院,北京,医药类
81.45,2327,13Z014M430-14YB.jpg,122,湖南师范大学,湖南,师范类
81.45,2099,57bd548136dbe.jpg,123,西南医科大学,四川,医药类
81.45,2144,5347a2430a6a0.jpg,124,浙江工商大学,浙江,财经类
81.38,486,534613633d13b.jpg,125,北京工商大学,北京,财经类
83.33,577,13Z0151P440-1C053.jpg,93,华南师范大学,广东,师范类
83.03,254,13Z01QJR0-V2T.jpg,94,中国石油大学（华东）,山东,理工类
83.03,3300,54bca232e60da.jpg,95,大连理工大学盘锦校区,辽宁,理工类
82.95,242,13Z01L1X50-cb0.jpg,96,中国地质大学（北京）,北京,理工类
82.95,1839,13Z014J2310-13101.jpg,97,江南大学,江苏,综合类
82.95,89,13Z02605W30-1D13.jpg,98,上海纽约大学,上海,综合类
82.80,622,565d5bddd30ad.jpg,99,南京邮电大学,江苏,理工类
82.73,2645,53a91aaabae1b.png,100,西北大学,陕西,综合类
75.68,1650,13Z015153410-162133.jpg,149,新疆大学,新疆,综合类
63.98,2720,13Z0152RO0-155941.jpg,150,西藏大学,西藏,综合类
86.33,811,55e5587c90a1a.jpg,60,吉林大学,吉林,综合类
86.18,110,13Z01542520-1125B.jpg,61,东北财经大学,辽宁,财经类
86.10,613,13Z014S54Z-115219.jpg,62,南京理工大学,江苏,理工类
86.10,2917,13Z015024930-161U3.jpg,63,重庆医科大学,重庆,医药类
85.80,452,13Z015049240-14b9.jpg,64,北京中医药大学,北京,医药类
85.80,863,13Z01N42450-1155c.jpg,65,哈尔滨工业大学（威海）,山东,理工类
85.65,572,huabeidianli-slogo.jpg,66,华北电力大学（保定）,河北,理工类
85.58,2656,13Z014S1240-D430.jpg,67,西南交通大学,四川,理工类
85.43,249,13Z014UJ0-11T27.jpg,68,中国海洋大学,山东,综合类
85.43,237,542a5501c8fc0.jpg,69,中国医科大学,辽宁,医药类
85.43,3154,13Z0156391Z-163N7.jpg,70,首都经济贸易大学,北京,财经类
85.35,527,5407dd3712d39.jpg,71,北京第二外国语学院,北京,语言类
85.35,553,13Z0155J1P-1A11.jpg,72,华东政法大学,上海,政法类
85.28,1793,13Z014S9430-1D1H.jpg,73,武汉理工大学,湖北,理工类
85.28,2597,13Z014Pc20-5DN.jpg,74,苏州大学,江苏,综合类
85.05,35,5405683881074.jpg,75,上海大学,上海,综合类
